ID	Type	x	y	z
16	2	-8.292890	-8.292890	0.000000
17	2	-8.707110	-6.707110	0.000000
18	2	-7.707110	-6.707110	0.000000
19	2	-9.707110	-9.707110	0.000000
20	2	-9.292890	-9.292890	0.000000
21	2	-7.292890	-9.292890	0.000000
22	2	-8.292890	-9.292890	0.000000
23	2	-9.707110	-8.707110	0.000000
24	2	-8.707110	-9.707110	0.000000
25	2	-9.292890	-8.292890	0.000000
26	2	-9.707110	-7.707110	0.000000
27	2	-9.707110	-6.707110	0.000000
28	2	-9.292890	-7.292890	0.000000
29	2	-8.707110	-8.707110	0.000000
30	2	-8.707110	-7.707110	0.000000
31	2	-8.292890	-7.292890	0.000000
32	2	-7.707110	-7.707110	0.000000
33	2	-7.292890	-7.292890	0.000000
34	2	-6.707110	-7.707110	0.000000
35	2	-6.707110	-6.707110	0.000000
36	2	-6.707110	-8.707110	0.000000
37	2	-6.707110	-9.707110	0.000000
38	2	-7.292890	-8.292890	0.000000
39	2	-7.707110	-9.707110	0.000000
40	2	-7.707110	-8.707110	0.000000
53	2	-6.292890	-9.292890	0.000000
54	2	-3.707110	-8.707110	0.000000
55	2	-4.292890	-8.292890	0.000000
56	2	-6.292890	-7.292890	0.000000
57	2	-4.707110	-8.707110	0.000000
58	2	-5.707110	-8.707110	0.000000
59	2	-5.707110	-9.707110	0.000000
60	2	-6.292890	-8.292890	0.000000
61	2	-5.292890	-9.292890	0.000000
62	2	-4.707110	-9.707110	0.000000
63	2	-4.292890	-9.292890	0.000000
64	2	-3.707110	-9.707110	0.000000
65	2	-3.707110	-6.707110	0.000000
66	2	-5.707110	-6.707110	0.000000
67	2	-3.707110	-7.707110	0.000000
68	2	-5.707110	-7.707110	0.000000
69	2	-4.707110	-6.707110	0.000000
70	2	-4.707110	-7.707110	0.000000
71	2	-4.292890	-7.292890	0.000000
72	2	-5.292890	-8.292890	0.000000
73	2	-5.292890	-7.292890	0.000000
90	2	-1.707110	-7.707110	0.000000
91	2	-0.292890	-9.292890	0.000000
92	2	-2.292890	-9.292890	0.000000
93	2	-2.292890	-7.292890	0.000000
94	2	-2.707110	-6.707110	0.000000
95	2	-0.707110	-7.707110	0.000000
96	2	-0.292890	-8.292890	0.000000
97	2	-3.292890	-7.292890	0.000000
98	2	-3.292890	-8.292890	0.000000
99	2	-2.707110	-8.707110	0.000000
100	2	-2.707110	-9.707110	0.000000
101	2	-3.292890	-9.292890	0.000000
102	2	-1.292890	-9.292890	0.000000
103	2	-0.707110	-9.707110	0.000000
104	2	-0.707110	-8.707110	0.000000
105	2	-1.707110	-9.707110	0.000000
106	2	-1.292890	-8.292890	0.000000
107	2	-2.292890	-8.292890	0.000000
108	2	-1.707110	-8.707110	0.000000
109	2	-2.707110	-7.707110	0.000000
110	2	-0.707110	-6.707110	0.000000
111	2	-1.292890	-7.292890	0.000000
112	2	-1.707110	-6.707110	0.000000
113	2	-0.292890	-7.292890	0.000000
126	2	2.292890	-9.707110	0.000000
127	2	2.707110	-9.292890	0.000000
128	2	2.292890	-7.707110	0.000000
129	2	3.292890	-7.707110	0.000000
130	2	0.292890	-9.707110	0.000000
131	2	1.707110	-8.292890	0.000000
132	2	3.292890	-8.707110	0.000000
133	2	3.292890	-6.707110	0.000000
134	2	1.292890	-7.707110	0.000000
135	2	0.707110	-9.292890	0.000000
136	2	0.292890	-6.707110	0.000000
137	2	0.292890	-7.707110	0.000000
138	2	1.292890	-6.707110	0.000000
139	2	2.292890	-6.707110	0.000000
