ID	Type	x	y	z
0	1	-10.000000	-10.000000	0.000000
1	1	-10.000000	-9.000000	0.000000
2	1	-10.000000	-8.000000	0.000000
3	1	-10.000000	-7.000000	0.000000
4	1	-9.000000	-10.000000	0.000000
5	1	-9.000000	-9.000000	0.000000
6	1	-9.000000	-8.000000	0.000000
7	1	-9.000000	-7.000000	0.000000
8	1	-8.000000	-10.000000	0.000000
9	1	-8.000000	-9.000000	0.000000
10	1	-8.000000	-8.000000	0.000000
11	1	-8.000000	-7.000000	0.000000
12	1	-7.000000	-10.000000	0.000000
13	1	-7.000000	-9.000000	0.000000
14	1	-7.000000	-8.000000	0.000000
15	1	-7.000000	-7.000000	0.000000
41	1	-6.000000	-10.000000	0.000000
42	1	-6.000000	-9.000000	0.000000
43	1	-6.000000	-8.000000	0.000000
44	1	-6.000000	-7.000000	0.000000
45	1	-5.000000	-10.000000	0.000000
46	1	-5.000000	-9.000000	0.000000
47	1	-5.000000	-8.000000	0.000000
48	1	-5.000000	-7.000000	0.000000
49	1	-4.000000	-10.000000	0.000000
50	1	-4.000000	-9.000000	0.000000
51	1	-4.000000	-8.000000	0.000000
52	1	-4.000000	-7.000000	0.000000
74	1	-3.000000	-10.000000	0.000000
75	1	-3.000000	-9.000000	0.000000
76	1	-3.000000	-8.000000	0.000000
77	1	-3.000000	-7.000000	0.000000
78	1	-2.000000	-10.000000	0.000000
79	1	-2.000000	-9.000000	0.000000
80	1	-2.000000	-8.000000	0.000000
81	1	-2.000000	-7.000000	0.000000
82	1	-1.000000	-10.000000	0.000000
83	1	-1.000000	-9.000000	0.000000
84	1	-1.000000	-8.000000	0.000000
85	1	-1.000000	-7.000000	0.000000
86	1	0.000000	-10.000000	0.000000
87	1	0.000000	-9.000000	0.000000
88	1	0.000000	-8.000000	0.000000
89	1	0.000000	-7.000000	0.000000
114	1	1.000000	-10.000000	0.000000
115	1	1.000000	-9.000000	0.000000
116	1	1.000000	-8.000000	0.000000
117	1	1.000000	-7.000000	0.000000
118	1	2.000000	-10.000000	0.000000
119	1	2.000000	-9.000000	0.000000
120	1	2.000000	-8.000000	0.000000
121	1	2.000000	-7.000000	0.000000
122	1	3.000000	-10.000000	0.000000
123	1	3.000000	-9.000000	0.000000
124	1	3.000000	-8.000000	0.000000
125	1	3.000000	-7.000000	0.000000
151	1	4.000000	-10.000000	0.000000
152	1	4.000000	-9.000000	0.000000
153	1	4.000000	-8.000000	0.000000
154	1	4.000000	-7.000000	0.000000
155	1	5.000000	-10.000000	0.000000
156	1	5.000000	-9.000000	0.000000
157	1	5.000000	-8.000000	0.000000
158	1	5.000000	-7.000000	0.000000
159	1	6.000000	-10.000000	0.000000
160	1	6.000000	-9.000000	0.000000
161	1	6.000000	-8.000000	0.000000
162	1	6.000000	-7.000000	0.000000
187	1	7.000000	-10.000000	0.000000
188	1	7.000000	-9.000000	0.000000
189	1	7.000000	-8.000000	0.000000
190	1	7.000000	-7.000000	0.000000
191	1	8.000000	-10.000000	0.000000
192	1	8.000000	-9.000000	0.000000
193	1	8.000000	-8.000000	0.000000
194	1	8.000000	-7.000000	0.000000
195	1	9.000000	-10.000000	0.000000
196	1	9.000000	-9.000000	0.000000
197	1	9.000000	-8.000000	0.000000
198	1	9.000000	-7.000000	0.000000
199	1	10.000000	-10.000000	0.000000
200	1	10.000000	-9.000000	0.000000
201	1	10.000000	-8.000000	0.000000
202	1	10.000000	-7.000000	0.000000
224	1	-10.000000	-6.000000	0.000000
225	1	-10.000000	-5.000000	0.000000
226	1	-10.000000	-4.000000	0.000000
227	1	-9.000000	-6.000000	0.000000
228	1	-9.000000	-5.000000	0.000000
229	1	-9.000000	-4.000000	0.000000
230	1	-8.000000	-6.000000	0.000000
231	1	-8.000000	-5.000000	0.000000
232	1	-8.000000	-4.000000	0.000000
233	1	-7.000000	-6.000000	0.000000
234	1	-7.000000	-5.000000	0.000000
235	1	-7.000000	-4.000000	0.000000
257	1	-6.000000	-6.000000	0.000000
258	1	-6.000000	-5.000000	0.000000
259	1	-6.000000	-4.000000	0.000000
260	1	-5.000000	-6.000000	0.000000
261	1	-5.000000	-5.000000	0.000000
262	1	-5.000000	-4.000000	0.000000
263	1	-4.000000	-6.000000	0.000000
264	1	-4.000000	-5.000000	0.000000
265	1	-4.000000	-4.000000	0.000000
284	1	-3.000000	-6.000000	0.000000
285	1	-3.000000	-5.000000	0.000000
286	1	-3.000000	-4.000000	0.000000
287	1	-2.000000	-6.000000	0.000000
288	1	-2.000000	-5.000000	0.000000
289	1	-2.000000	-4.000000	0.000000
290	1	-1.000000	-6.000000	0.000000
291	1	-1.000000	-5.000000	0.000000
292	1	-1.000000	-4.000000	0.000000
293	1	0.000000	-6.000000	0.000000
294	1	0.000000	-5.000000	0.000000
295	1	0.000000	-4.000000	0.000000
317	1	1.000000	-6.000000	0.000000
318	1	1.000000	-5.000000	0.000000
319	1	1.000000	-4.000000	0.000000
320	1	2.000000	-6.000000	0.000000
321	1	2.000000	-5.000000	0.000000
322	1	2.000000	-4.000000	0.000000
323	1	3.000000	-6.000000	0.000000
324	1	3.000000	-5.000000	0.000000
325	1	3.000000	-4.000000	0.000000
347	1	4.000000	-6.000000	0.000000
348	1	4.000000	-5.000000	0.000000
349	1	4.000000	-4.000000	0.000000
350	1	5.000000	-6.000000	0.000000
351	1	5.000000	-5.000000	0.000000
352	1	5.000000	-4.000000	0.000000
353	1	6.000000	-6.000000	0.000000
354	1	6.000000	-5.000000	0.000000
355	1	6.000000	-4.000000	0.000000
377	1	7.000000	-6.000000	0.000000
378	1	7.000000	-5.000000	0.000000
379	1	7.000000	-4.000000	0.000000
380	1	8.000000	-6.000000	0.000000
381	1	8.000000	-5.000000	0.000000
382	1	8.000000	-4.000000	0.000000
383	1	9.000000	-6.000000	0.000000
384	1	9.000000	-5.000000	0.000000
385	1	9.000000	-4.000000	0.000000
386	1	10.000000	-6.000000	0.000000
387	1	10.000000	-5.000000	0.000000
388	1	10.000000	-4.000000	0.000000
407	1	-10.000000	-3.000000	0.000000
408	1	-10.000000	-2.000000	0.000000
409	1	-10.000000	-1.000000	0.000000
410	1	-10.000000	0.000000	0.000000
411	1	-9.000000	-3.000000	0.000000
412	1	-9.000000	-2.000000	0.000000
413	1	-9.000000	-1.000000	0.000000
414	1	-9.000000	0.000000	0.000000
415	1	-8.000000	-3.000000	0.000000
416	1	-8.000000	-2.000000	0.000000
417	1	-8.000000	-1.000000	0.000000
418	1	-8.000000	0.000000	0.000000
419	1	-7.000000	-3.000000	0.000000
420	1	-7.000000	-2.000000	0.000000
421	1	-7.000000	-1.000000	0.000000
422	1	-7.000000	0.000000	0.000000
447	1	-6.000000	-3.000000	0.000000
448	1	-6.000000	-2.000000	0.000000
449	1	-6.000000	-1.000000	0.000000
450	1	-6.000000	0.000000	0.000000
451	1	-5.000000	-3.000000	0.000000
452	1	-5.000000	-2.000000	0.000000
453	1	-5.000000	-1.000000	0.000000
454	1	-5.000000	0.000000	0.000000
455	1	-4.000000	-3.000000	0.000000
456	1	-4.000000	-2.000000	0.000000
457	1	-4.000000	-1.000000	0.000000
